[16:30:12] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.3
[16:30:12] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.3
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[16:30:12] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/msx/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[16:30:20] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[16:30:23] [main/INFO]: Loaded 7 recipes
[16:30:23] [main/INFO]: Loaded 1271 advancements
[16:30:24] [Server thread/INFO]: Starting minecraft server version 1.20.1
[16:30:24] [Server thread/INFO]: Loading properties
[16:30:24] [Server thread/INFO]: Default game type: SURVIVAL
[16:30:24] [Server thread/INFO]: Generating keypair
[16:30:24] [Server thread/INFO]: Starting Minecraft server on *:25565
[16:30:24] [Server thread/INFO]: Using epoll channel type
[16:30:24] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[16:30:24] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[16:30:24] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[16:30:24] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[16:30:24] [Server thread/INFO]: Preparing level "world"
[16:30:36] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[16:30:37] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:30:37] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:30:37] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:30:37] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:30:38] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:30:38] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:30:39] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:30:39] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[16:30:40] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[16:30:40] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[16:30:41] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[16:30:41] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[16:30:42] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[16:30:43] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[16:30:43] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[16:30:43] [Worker-Main-5/INFO]: Preparing spawn area: 1%
[16:30:44] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:44] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:45] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:45] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:46] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:46] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:47] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:47] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:48] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:48] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:49] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:49] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:50] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:50] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:51] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:51] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:52] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:52] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:53] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:53] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:54] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:54] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:55] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:55] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:56] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:56] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:57] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:57] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:58] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:58] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:59] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:30:59] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:00] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:00] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:01] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:01] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:02] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:02] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:03] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:03] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:04] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:04] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:05] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:05] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:06] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:06] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:07] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:07] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:08] [Worker-Main-1/INFO]: Preparing spawn area: 4%
[16:31:08] [Worker-Main-1/INFO]: Preparing spawn area: 5%
[16:31:09] [Worker-Main-1/INFO]: Preparing spawn area: 17%
[16:31:09] [Worker-Main-1/INFO]: Preparing spawn area: 17%
[16:31:10] [Worker-Main-1/INFO]: Preparing spawn area: 73%
[16:31:10] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[16:31:11] [Worker-Main-1/INFO]: Preparing spawn area: 74%
[16:31:11] [Worker-Main-1/INFO]: Preparing spawn area: 76%
[16:31:12] [Worker-Main-1/INFO]: Preparing spawn area: 77%
[16:31:12] [Worker-Main-1/INFO]: Preparing spawn area: 78%
[16:31:13] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[16:31:13] [Worker-Main-1/INFO]: Preparing spawn area: 79%
[16:31:14] [Worker-Main-1/INFO]: Preparing spawn area: 81%
[16:31:14] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[16:31:15] [Worker-Main-1/INFO]: Preparing spawn area: 84%
[16:31:15] [Worker-Main-1/INFO]: Preparing spawn area: 85%
[16:31:16] [Worker-Main-1/INFO]: Preparing spawn area: 87%
[16:31:16] [Worker-Main-1/INFO]: Preparing spawn area: 87%
[16:31:17] [Worker-Main-1/INFO]: Preparing spawn area: 89%
[16:31:17] [Worker-Main-1/INFO]: Preparing spawn area: 90%
[16:31:18] [Worker-Main-1/INFO]: Preparing spawn area: 93%
[16:31:18] [Worker-Main-1/INFO]: Preparing spawn area: 93%
[16:31:19] [Worker-Main-1/INFO]: Preparing spawn area: 94%
[16:31:19] [Worker-Main-1/INFO]: Preparing spawn area: 95%
[16:31:20] [Worker-Main-1/INFO]: Preparing spawn area: 96%
[16:31:20] [Worker-Main-1/INFO]: Preparing spawn area: 97%
[16:31:21] [Worker-Main-1/INFO]: Preparing spawn area: 99%
[16:31:22] [Server thread/INFO]: Time elapsed: 45943 ms
[16:31:22] [Server thread/INFO]: Done (57.710s)! For help, type "help"
